timestamp	src_ip	query	qtype	rcode	answer_count
2026-01-05 09:00:10	10.0.0.89	evil.example	MX	SERVFAIL	2
2026-01-05 09:00:31	10.0.0.144	example.com	MX	NOERROR	0
2026-01-05 09:01:00	10.0.0.63	updates.vendor	TXT	SERVFAIL	1
2026-01-05 09:01:34	10.0.0.178	mail.example	TXT	NXDOMAIN	0
2026-01-05 09:02:03	10.0.0.25	evil.example	AAAA	NXDOMAIN	1
2026-01-05 09:02:33	10.0.0.80	cdn.example	TXT	SERVFAIL	2
2026-01-05 09:03:02	10.0.0.110	cdn.example	CNAME	SERVFAIL	3
2026-01-05 09:03:31	10.0.0.71	evil.example	CNAME	NOERROR	0
2026-01-05 09:04:10	10.0.0.186	login.example	CNAME	NOERROR	1
2026-01-05 09:04:38	10.0.0.51	login.example	TXT	NXDOMAIN	2
2026-01-05 09:05:01	10.0.0.253	msis.edu	AAAA	NXDOMAIN	1
2026-01-05 09:05:39	10.0.0.94	github.com	CNAME	NOERROR	1
2026-01-05 09:06:06	10.0.0.72	example.com	A	SERVFAIL	2
2026-01-05 09:06:30	10.0.0.180	github.com	TXT	NOERROR	0
2026-01-05 09:07:00	10.0.0.148	evil.example	TXT	NXDOMAIN	3
2026-01-05 09:07:31	10.0.0.89	github.com	A	NXDOMAIN	3
2026-01-05 09:08:03	10.0.0.31	msis.edu	TXT	NXDOMAIN	0
2026-01-05 09:08:33	10.0.0.149	example.com	AAAA	NOERROR	2
2026-01-05 09:09:08	10.0.0.23	login.example	A	SERVFAIL	3
2026-01-05 09:09:39	10.0.0.157	login.example	MX	NXDOMAIN	3
2026-01-05 09:10:00	10.0.0.234	mail.example	CNAME	SERVFAIL	3
2026-01-05 09:10:38	10.0.0.80	example.com	MX	SERVFAIL	0
2026-01-05 09:11:03	10.0.0.244	login.example	AAAA	NXDOMAIN	0
2026-01-05 09:11:40	10.0.0.42	login.example	AAAA	SERVFAIL	0
2026-01-05 09:12:08	10.0.0.42	example.com	TXT	NXDOMAIN	3
2026-01-05 09:12:36	10.0.0.76	example.com	AAAA	NXDOMAIN	2
2026-01-05 09:13:03	10.0.0.181	mail.example	A	SERVFAIL	1
2026-01-05 09:13:37	10.0.0.238	evil.example	MX	SERVFAIL	1
2026-01-05 09:14:09	10.0.0.110	msis.edu	MX	NOERROR	1
2026-01-05 09:14:34	10.0.0.234	evil.example	AAAA	NOERROR	0
2026-01-05 09:15:00	10.0.0.44	evil.example	MX	SERVFAIL	2
2026-01-05 09:15:32	10.0.0.114	msis.edu	TXT	SERVFAIL	2
2026-01-05 09:16:06	10.0.0.181	updates.vendor	CNAME	SERVFAIL	3
2026-01-05 09:16:35	10.0.0.114	msis.edu	MX	NOERROR	3
2026-01-05 09:17:04	10.0.0.190	cdn.example	MX	NXDOMAIN	0
2026-01-05 09:17:32	10.0.0.25	login.example	MX	SERVFAIL	0
2026-01-05 09:18:03	10.0.0.197	evil.example	MX	NOERROR	1
2026-01-05 09:18:35	10.0.0.122	mail.example	CNAME	NOERROR	3
2026-01-05 09:19:01	10.0.0.164	mail.example	A	NXDOMAIN	2
2026-01-05 09:19:31	10.0.0.106	cdn.example	CNAME	SERVFAIL	0
2026-01-05 09:20:06	10.0.0.221	github.com	CNAME	NXDOMAIN	3
